# ----------------------------------------
# Všechny údaje o webu
# Stránky
# 20191201-20200715
# ----------------------------------------

Stránka,Zobrazení stránek,Unikátní zobrazení stránek,Prům. doba na stránce,Vstupy,Míra okamžitého opuštění,Procento odchodů,Hodnota stránky
/podnikani_v_pohostinstvi,41,41,00:14:07,40,"95,00 %","95,12 %","0,00 US$"
/gastronomicke_vyrazy,40,37,00:01:01,36,"88,89 %","90,00 %","0,00 US$"
/gastronomie,40,34,00:03:31,31,"83,87 %","70,00 %","0,00 US$"
/porchetta,37,35,00:02:17,32,"93,75 %","89,19 %","0,00 US$"
/speciality,36,36,00:01:59,35,"100,00 %","97,22 %","0,00 US$"
/cordon_bleu,35,32,00:06:07,32,"90,62 %","91,43 %","0,00 US$"
/kaldoun,35,32,00:03:22,25,"84,00 %","74,29 %","0,00 US$"
/?stitek=Zivotopis,34,20,00:00:25,20,"30,00 %","32,35 %","0,00 US$"
/koktejly,34,29,00:02:24,26,"88,46 %","76,47 %","0,00 US$"
/smazeni,34,33,00:02:06,32,"93,75 %","91,18 %","0,00 US$"
/brunch,33,32,00:01:30,28,"96,43 %","87,88 %","0,00 US$"
/poslicci,33,30,00:02:36,28,"85,71 %","84,85 %","0,00 US$"
/proc_lide_chodi_do_restauraci,32,28,00:07:22,28,"82,14 %","84,38 %","0,00 US$"
/hulky,31,31,00:00:00,31,"100,00 %","100,00 %","0,00 US$"
/piti_vina_a_zdravi,31,31,00:00:00,30,"100,00 %","100,00 %","0,00 US$"
/pravda_na_listku,31,24,00:00:48,6,"83,33 %","32,26 %","0,00 US$"
/zatraceny_krabi_zivot,31,30,00:08:08,28,"96,43 %","93,55 %","0,00 US$"
/demi-glace,29,28,00:01:12,26,"96,15 %","89,66 %","0,00 US$"
/muj_gulas,29,25,00:04:55,24,"95,65 %","82,76 %","0,00 US$"
/o_mase_2,29,27,00:05:40,25,"88,00 %","89,66 %","0,00 US$"
/chrest,28,27,00:05:41,27,"96,30 %","96,43 %","0,00 US$"
/stroganov?usp=image,28,28,00:02:15,19,"94,74 %","82,14 %","0,00 US$"
/bonovaci_kniha,27,21,00:01:56,21,"80,95 %","74,07 %","0,00 US$"
/samoobsluzna_restaurace,27,24,00:01:19,16,"93,75 %","74,07 %","0,00 US$"
/vanoce_v_americe,27,24,00:02:02,23,"95,65 %","88,89 %","0,00 US$"
/velikost_porce?usp=heading,27,26,00:05:25,2,"50,00 %","33,33 %","0,00 US$"
,16 943,15 289,00:02:56,13 925,"89,21 %","82,19 %","0,00 US$"

Index dne,Zobrazení stránek
01.12.19,50
02.12.19,51
03.12.19,63
04.12.19,42
05.12.19,32
06.12.19,52
07.12.19,39
08.12.19,52
09.12.19,46
10.12.19,50
11.12.19,54
12.12.19,98
13.12.19,53
14.12.19,95
15.12.19,47
16.12.19,51
17.12.19,63
18.12.19,47
19.12.19,47
20.12.19,48
21.12.19,48
22.12.19,55
23.12.19,39
24.12.19,41
25.12.19,54
26.12.19,46
27.12.19,57
28.12.19,51
29.12.19,69
30.12.19,62
31.12.19,81
01.01.20,26
02.01.20,55
03.01.20,53
04.01.20,69
05.01.20,113
06.01.20,54
07.01.20,66
08.01.20,85
09.01.20,61
10.01.20,62
11.01.20,72
12.01.20,85
13.01.20,72
14.01.20,55
15.01.20,92
16.01.20,59
17.01.20,53
18.01.20,84
19.01.20,53
20.01.20,80
21.01.20,78
22.01.20,62
23.01.20,70
24.01.20,101
25.01.20,58
26.01.20,73
27.01.20,50
28.01.20,52
29.01.20,57
30.01.20,72
31.01.20,67
01.02.20,65
02.02.20,74
03.02.20,61
04.02.20,85
05.02.20,72
06.02.20,96
07.02.20,61
08.02.20,65
09.02.20,54
10.02.20,59
11.02.20,61
12.02.20,63
13.02.20,108
14.02.20,73
15.02.20,71
16.02.20,66
17.02.20,77
18.02.20,68
19.02.20,64
20.02.20,86
21.02.20,79
22.02.20,55
23.02.20,55
24.02.20,93
25.02.20,87
26.02.20,62
27.02.20,63
28.02.20,77
29.02.20,78
01.03.20,74
02.03.20,66
03.03.20,74
04.03.20,65
05.03.20,120
06.03.20,58
07.03.20,71
08.03.20,64
09.03.20,57
10.03.20,57
11.03.20,61
12.03.20,47
13.03.20,40
14.03.20,59
15.03.20,68
16.03.20,66
17.03.20,53
18.03.20,77
19.03.20,100
20.03.20,72
21.03.20,69
22.03.20,105
23.03.20,127
24.03.20,75
25.03.20,105
26.03.20,104
27.03.20,92
28.03.20,92
29.03.20,76
30.03.20,146
31.03.20,138
01.04.20,92
02.04.20,109
03.04.20,107
04.04.20,84
05.04.20,105
06.04.20,89
07.04.20,73
08.04.20,80
09.04.20,60
10.04.20,69
11.04.20,71
12.04.20,68
13.04.20,111
14.04.20,105
15.04.20,71
16.04.20,74
17.04.20,81
18.04.20,52
19.04.20,73
20.04.20,111
21.04.20,82
22.04.20,73
23.04.20,75
24.04.20,70
25.04.20,57
26.04.20,75
27.04.20,79
28.04.20,121
29.04.20,92
30.04.20,80
01.05.20,86
02.05.20,57
03.05.20,78
04.05.20,98
05.05.20,106
06.05.20,112
07.05.20,142
08.05.20,85
09.05.20,77
10.05.20,85
11.05.20,109
12.05.20,105
13.05.20,111
14.05.20,81
15.05.20,114
16.05.20,65
17.05.20,52
18.05.20,69
19.05.20,69
20.05.20,96
21.05.20,77
22.05.20,59
23.05.20,79
24.05.20,107
25.05.20,85
26.05.20,80
27.05.20,77
28.05.20,96
29.05.20,119
30.05.20,74
31.05.20,108
01.06.20,76
02.06.20,98
03.06.20,90
04.06.20,93
05.06.20,73
06.06.20,60
07.06.20,80
08.06.20,117
09.06.20,79
10.06.20,86
11.06.20,119
12.06.20,99
13.06.20,45
14.06.20,114
15.06.20,103
16.06.20,87
17.06.20,83
18.06.20,92
19.06.20,79
20.06.20,83
21.06.20,58
22.06.20,42
23.06.20,44
24.06.20,43
25.06.20,51
26.06.20,48
27.06.20,43
28.06.20,65
29.06.20,54
30.06.20,59
01.07.20,45
02.07.20,62
03.07.20,49
04.07.20,36
05.07.20,55
06.07.20,69
07.07.20,48
08.07.20,65
09.07.20,63
10.07.20,77
11.07.20,58
12.07.20,117
13.07.20,48
14.07.20,97
15.07.20,216
,16 943
